Рік;Місяць;Облікова ставка, %;Ставка за кредитами, %;;;;;;;;;;;;;;
2015;січень;14.0;17.9;;;;;;;;;;;;;;
2015;лютий;19.5;19.3;;;;;;;;;;;;;;
2015;березень;30.0;23.5;;;;;;;;;;;;;;
2015;квітень;30.0;23.9;;;;;;;;;;;;;;
2015;травень;30.0;23.7;;;;;;;;;;;;;;
2015;червень;30.0;22.6;;;;;;;;;;;;;;
2015;липень;30.0;21.9;;;;;;;;;;;;;;
2015;серпень;30.0;22.1;;;;;;;;;;;;;;
2015;вересень;27.0;22.1;;;;;;;;;;;;;;
2015;жовтень;22.0;21.9;;;;;;;;;;;;;;
2015;листопад;22.0;21.8;;;;;;;;;;;;;;
2015;грудень;22.0;21.3;;;;;;;;;;;;;;
2016;січень;22.0;21.2;;;;;;;;;;;;;;
2016;лютий;22.0;21.0;;;;;;;;;;;;;;
2016;березень;22.0;21.3;;;;;;;;;;;;;;
2016;квітень;22.0;21.8;;;;;;;;;;;;;;
2016;травень;19.0;22.0;;;;;;;;;;;;;;
2016;червень;18.0;21.4;;;;;;;;;;;;;;
2016;липень;16.5;19.0;;;;;;;;;;;;;;
2016;серпень;15.5;18.1;;;;;;;;;;;;;;
2016;вересень;15.5;17.9;;;;;;;;;;;;;;
2016;жовтень;15.0;15.1;;;;;;;;;;;;;;
2016;листопад;14.0;14.8;;;;;;;;;;;;;;
2016;грудень;14.0;17.2;;;;;;;;;;;;;;
2017;січень;14.0;17.3;;;;;;;;;;;;;;
2017;лютий;14.0;17.1;;;;;;;;;;;;;;
2017;березень;14.0;17.1;;;;;;;;;;;;;;
2017;квітень;13.0;16.3;;;;;;;;;;;;;;
2017;травень;13.0;16.3;;;;;;;;;;;;;;
2017;червень;12.5;15.7;;;;;;;;;;;;;;
2017;липень;12.5;15.2;;;;;;;;;;;;;;
2017;серпень;12.5;15.4;;;;;;;;;;;;;;
2017;вересень;12.5;15.8;;;;;;;;;;;;;;
2017;жовтень;12.5;15.9;;;;;;;;;;;;;;
2017;листопад;13.5;16.9;;;;;;;;;;;;;;
2017;грудень;14.5;17.5;;;;;;;;;;;;;;
2018;січень;14.5;16.9;;;;;;;;;;;;;;
2018;лютий;16.0;17.5;;;;;;;;;;;;;;
2018;березень;17.0;18.0;;;;;;;;;;;;;;
2018;квітень;17.0;18.1;;;;;;;;;;;;;;
2018;травень;17.0;18.3;;;;;;;;;;;;;;
2018;червень;17.0;18.3;;;;;;;;;;;;;;
2018;липень;17.5;18.3;;;;;;;;;;;;;;
2018;серпень;17.5;19.2;;;;;;;;;;;;;;
2018;вересень;18.0;20.7;;;;;;;;;;;;;;
2018;жовтень;18.0;20.6;;;;;;;;;;;;;;
2018;листопад;18.0;20.6;;;;;;;;;;;;;;
2018;грудень;18.0;21.7;;;;;;;;;;;;;;
2019;січень;18.0;21.0;;;;;;;;;;;;;;
2019;лютий;18.0;19.2;;;;;;;;;;;;;;
2019;березень;18.0;19.3;;;;;;;;;;;;;;
2019;квітень;18.0;19.4;;;;;;;;;;;;;;
2019;травень;17.5;19.7;;;;;;;;;;;;;;
2019;червень;17.5;19.7;;;;;;;;;;;;;;
2019;липень;17.0;20.1;;;;;;;;;;;;;;
2019;серпень;17.0;21.0;;;;;;;;;;;;;;
2019;вересень;16.5;20.6;;;;;;;;;;;;;;
2019;жовтень;16.5;20.0;;;;;;;;;;;;;;
2019;листопад;15.5;19.1;;;;;;;;;;;;;;
2019;грудень;13.5;18.6;;;;;;;;;;;;;;
2020;січень;13.5;17.3;;;;;;;;;;;;;;
2020;лютий;11.0;16.3;;;;;;;;;;;;;;
2020;березень;10.0;16.9;;;;;;;;;;;;;;
2020;квітень;10.0;15.9;;;;;;;;;;;;;;
2020;травень;8.0;14.6;;;;;;;;;;;;;;
2020;червень;6.0;14.1;;;;;;;;;;;;;;
2020;липень;6.0;13.3;;;;;;;;;;;;;;
2020;серпень;6.0;13.0;;;;;;;;;;;;;;
2020;вересень;6.0;9.7;;;;;;;;;;;;;;
2020;жовтень;6.0;9.5;;;;;;;;;;;;;;
